"name","set","collector number","scryfallId","tcgplayerProductId"
"Banishing Light","BLB","1","25a06f82-ebdb-4dd6-bfe8-958018ce557c","559497"
"Beza, the Bounding Spring","BLB","2","fc310a26-b6a0-4e42-98ab-bdfd7b06cb63","558421"
"Brave-Kin Duo","BLB","3","b8dd4693-424d-4d6e-86cf-24401a23d6b1","558592"
"Brightblade Stoat","BLB","4","df7fea2e-7414-4bc8-adb0-9342e174c009","558682"
"Builder's Talent","BLB","5","15fa581a-724e-4196-a9a3-ff84c54bdb7d","559637"
"Caretaker's Talent","BLB","6","ad5ea98a-e36e-4ab9-b4da-cc572f3777db","559638"
"Carrot Cake","BLB","7","eb03bb4f-8b4b-417e-bfc6-294cd2186b2e","558593"
"Crumb and Get It","BLB","8","3c7b3b25-d4b3-4451-9f5c-6eb369541175","559740"
"Dawn's Truce","BLB","9","8f72bfa0-efef-48ce-aff8-d5818ed71ba6","559037"
"Dewdrop Cure","BLB","10","666aefc2-44e0-4c27-88d5-7906f245a71f","558685"
"Driftgloom Coyote","BLB","11","d7ab2de3-3aea-461a-a74f-fb742cf8a198","559039"
"Essence Channeler","BLB","12","5aaf7e4c-4d5d-4acc-a834-e6c4a7629408","559639"
"Feather of Flight","BLB","13","9fb41503-8632-4bf1-9bfe-6d9b9993c337","559040"
"Flowerfoot Swordmaster","BLB","14","97ff118f-9c3c-43a2-8085-980c7fe7d227","558330"
"Harvestrite Host","BLB","15","41762689-0c13-4d45-9d81-ba2afad980f8","559129"
"Hop to It","BLB","16","ee7207f8-5daa-42af-aeea-7a489047110b","558432"
"Intrepid Rabbit","BLB","17","4d70b99d-c8bf-4a56-8957-cf587fe60b81","559738"
"Jackdaw Savior","BLB","18","121af600-6143-450a-9f87-12ce4833f1ec","559498"
"Jolly Gerbils","BLB","19","0eab51d6-ba17-4a8c-8834-25db363f2b6b","559994"
"Lifecreed Duo","BLB","20","ca543405-5e12-48a0-9a77-082ac9bcb2f2","558686"
"Mabel's Mettle","BLB","21","5cfcf83f-089c-4e35-855e-b61b98bb1cd8","558687"
"Mouse Trapper","BLB","22","8ba1bc5a-03e7-44ec-893e-44042cbc02ef","559130"
"Nettle Guard","BLB","23","8c9c3cc3-2aa2-453e-a17c-2baeeaabe0a9","559041"
"Parting Gust","BLB","24","1086e826-94b8-4398-8a38-d8eacca56a43","558346"
"Pileated Provisioner","BLB","25","ae442cd6-c4df-4aad-9b1d-ccd936c5ec96","559131"
"Rabbit Response","BLB","26","c4ded450-346d-4917-917a-b62bc0267509","559500"
"Repel Calamity","BLB","27","d068192a-6270-4981-819d-4945fa4a2b83","558366"
"Salvation Swan","BLB","28","b2656160-d319-4530-a6e5-c418596c3f12","558594"
"Season of the Burrow","BLB","29","33bf9c60-4e58-48a4-8e53-abef7ab3b671","559043"
"Seasoned Warrenguard","BLB","30","90873995-876f-4e89-8bc7-41a74f4d931f","559501"
"Shrike Force","BLB","31","306fec2c-d8b7-4f4b-8f58-10e3b9f3158f","558426"
"Sonar Strike","BLB","32","a50da179-751f-47a8-a547-8c4a291ed381","559641"
"Star Charter","BLB","33","0e209237-00f7-4bf0-8287-ccde02ce8e8d","559044"
"Starfall Invocation","BLB","34","2aea38e6-ec58-4091-b27c-2761bdd12b13","559045"
"Thistledown Players","BLB","35","afa8d83f-8586-4127-8b55-9715e9547488","558688"
"Valley Questcaller","BLB","36","ba629ca8-a368-4282-8a61-9bf6a5c217f0","558357"
"Warren Elder","BLB","37","4bf20069-5a20-4f95-976b-6af2b69f3ad0","559132"
"Warren Warleader","BLB","38","eb5237a0-5ac3-4ded-9f92-5f782a7bbbd7","558359"
"Wax-Wane Witness","BLB","39","d90ea719-5320-46c6-a347-161853a14776","559047"
"Whiskervale Forerunner","BLB","40","60a78d59-af31-4af9-95aa-2573fe553925","559133"
"Azure Beastbinder","BLB","41","211af1bf-910b-41a5-b928-f378188d1871","559744"
"Bellowing Crier","BLB","42","ca2215dd-6300-49cf-b9b2-3a840b786c31","559561"
"Calamitous Tide","BLB","43","178bc8b2-ffa0-4549-aead-aacb3db3cf19","559502"
"Daring Waverider","BLB","44","19422406-0c1a-497e-bed1-708bc556491a","559135"
"Dazzling Denial","BLB","45","8739f1ac-2e57-4b52-a7ff-cc8df5936aad","559748"
"Dire Downdraft","BLB","46","f1931f22-974c-43ad-911e-684bf3f9995d","559749"
"Dour Port-Mage","BLB","47","6402133e-eed1-4a46-9667-8b7a310362c1","559503"
"Eddymurk Crab","BLB","48","e6d45abe-4962-47d9-a54e-7e623ea8647c","559642"
"Eluge, the Shoreless Sea","BLB","49","1f2bf6ba-cd1a-4382-9572-6dfbcf6ed0c6","559644"
"Finch Formation","BLB","50","1c671eab-d1ef-4d79-94eb-8b85f0d18699","558689"
"Gossip's Talent","BLB","51","b299889a-03d6-4659-b0e1-f0830842e40f","559136"
"Into the Flood Maw","BLB","52","50b9575a-53d9-4df7-b86c-cda021107d3f","559137"
"Kitnap","BLB","53","085be5d1-fd85-46d1-ad39-a8aa75a06a96","558373"
"Kitsa, Otterball Elite","BLB","54","c8ff751a-ec64-41d5-b22c-2a483ad9a9b2","559505"
"Knightfisher","BLB","55","c7fb7f4f-2153-4527-8f11-adbf508d3533","559138"
"Lightshell Duo","BLB","56","2f00c834-b4a9-45b8-bb3f-22c2a42314a0","559048"
"Long River Lurker","BLB","57","7c267719-cd03-4003-b281-e732d5e42a1e","559049"
"Long River's Pull","BLB","58","1c81d0fa-81a1-4f9b-a5fd-5a648fd01dea","559139"
"Mind Spiral","BLB","59","7e24fe6a-607b-49b8-9fca-cecb1e40de7f","559140"
"Mindwhisker","BLB","60","aaa10f34-5bfd-4d87-8f07-58de3b0f5663","559507"
"Mockingbird","BLB","61","ade32396-8841-4ba4-8852-d11146607f21","559141"
"Nightwhorl Hermit","BLB","62","0928e04f-2568-41e8-b603-7a25cf5f94d0","559508"
"Otterball Antics","BLB","63","3ff83ff7-e428-4ccc-8341-f223dab76bd1","559143"
"Pearl of Wisdom","BLB","64","13cb9575-1138-4f99-8e90-0eaf00bdf4a1","558588"
"Plumecreed Escort","BLB","65","f71320ed-2f30-49ce-bcb0-19aebba3f0e8","559144"
"Portent of Calamity","BLB","66","8599e2dd-9164-4da3-814f-adccef3b9497","559645"
"Run Away Together","BLB","67","7cb7ec70-a5a4-4188-ba1a-e88b81bdbad0","558363"
"Season of Weaving","BLB","68","f5713bb4-bdd9-4253-b6b9-e590532ed773","558352"
"Shore Up","BLB","69","4dc3b49e-3674-494c-bdea-4374cefd10f4","559751"
"Shoreline Looter","BLB","70","d5bf8cf0-419a-4dc9-9342-aad55c1af05a","558396"
"Skyskipper Duo","BLB","71","d6844bad-ffbe-4c6e-b438-08562eccea52","559753"
"Spellgyre","BLB","72","f6f6620a-1d40-429d-9a0c-aaeb62adaa71","559755"
"Splash Lasher","BLB","73","362ee125-35a0-46cd-a201-e6797d12d33a","559051"
"Splash Portal","BLB","74","adbaa356-28ba-487f-930a-a957d9960ab0","559145"
"Stormchaser's Talent","BLB","75","a36e682d-b43d-4e08-bf5b-70d7e924dbe5","559757"
"Sugar Coat","BLB","76","fcacbe71-efb0-49e1-b2d0-3ee65ec6cf8b","558690"
"Thought Shucker","BLB","77","44b0d83b-cc41-4f82-892c-ef6d3293228a","558691"
"Thundertrap Trainer","BLB","78","9cf3af94-b7c8-415c-a5a1-d89967fd0bba","558597"
"Valley Floodcaller","BLB","79","90b12da0-f666-471d-95f5-15d8c9b31c92","559146"
"Waterspout Warden","BLB","80","35898b39-98e2-405b-8f18-0e054bd2c29e","559053"
"Wishing Well","BLB","81","edeb20aa-b253-49b8-9947-c397a3a4002a","559149"
"Agate-Blade Assassin","BLB","82","39ebb84a-1c52-4b07-9bd0-b360523b3a5b","559647"
"Bandit's Talent","BLB","83","485dc8d8-9e44-4a0f-9ff6-fa448e232290","559150"
"Bonebind Orator","BLB","84","faf226fa-ca09-4468-8804-87b2a7de2c66","559762"
"Bonecache Overseer","BLB","85","82defb87-237f-4b77-9673-5bf00607148f","558694"
"Coiling Rebirth","BLB","86","96d5de3e-0440-4dd1-899c-ab40c0752343","559671"
"Consumed by Greed","BLB","87","e50acc41-3517-42db-b1d3-1bdfd7294d84","558696"
"Cruelclaw's Heist","BLB","88","cab4539a-0157-4cbe-b50f-6e2575df74e9","559649"
"Daggerfang Duo","BLB","89","cea2bb34-e328-44fb-918a-72208c9457e4","559765"
"Darkstar Augur","BLB","90","1c603751-1e2b-4c8e-a8d2-5c0876e7254f","559055"
"Diresight","BLB","91","fada29c0-5293-40a4-b36d-d073ee99e650","558698"
"Downwind Ambusher","BLB","92","55cfd628-933a-4d3d-b2e5-70bc86960d1c","559058"
"Early Winter","BLB","93","5030e6ac-211d-4145-8c87-998a8351a467","558600"
"Feed the Cycle","BLB","94","7e017ff8-2936-4a1b-bece-00004cfbad06","559509"
"Fell","BLB","95","c96ac326-de44-470b-a592-a4c2a052c091","558602"
"Glidedive Duo","BLB","96","4831e7ae-54e3-4bd9-b5af-52dc29f81715","559151"
"Hazel's Nocturne","BLB","97","239363df-4de8-4b64-80fc-a1f4b5c36027","559510"
"Huskburster Swarm","BLB","98","ed2f61d7-4eb0-41c5-8a34-a0793c2abc51","559060"
"Iridescent Vinelasher","BLB","99","b2bc854c-4e72-48e0-a098-e3451d6e511d","558625"
"Maha, Its Feathers Night","BLB","100","cf3320ec-c4e8-405a-982d-e009c58c9e21","558342"
"Moonstone Harbinger","BLB","101","59e4aa8d-1d06-48db-b205-aa2f1392bbcb","559063"
"Nocturnal Hunger","BLB","102","742c0409-9abd-4559-b52e-932cc90c531a","559511"
"Osteomancer Adept","BLB","103","7d8238dd-858f-466c-96de-986bd66861d7","558345"
"Persistent Marshstalker","BLB","104","8b900c71-713b-4b7e-b4be-ad9f4aa0c139","559152"
"Psychic Whorl","BLB","105","df900308-8432-4a0a-be21-17482026012b","559651"
"Ravine Raider","BLB","106","874510be-7ecd-4eff-abad-b9594eb4821a","559767"
"Rottenmouth Viper","BLB","107","735e79b1-a3a9-4ddf-8bbc-f756c8a0452b","559521"
"Ruthless Negotiation","BLB","108","c7f4360c-8d68-4058-b9ec-da9948cb060d","558364"
"Savor","BLB","109","1397f689-dca1-4d35-864b-92c5606afb9a","559768"
"Scales of Shale","BLB","110","9ae14276-dbbd-4257-80e9-accd6c19f5b2","558700"
"Scavenger's Talent","BLB","111","9a52b7fe-87ae-425b-85fd-b24e6e0395f1","559652"
"Season of Loss","BLB","112","cc540652-916b-45c5-ae5a-0a0bc557cee1","558388"
"Sinister Monolith","BLB","113","2a15e06c-2608-4e7a-a16c-d35417669d86","559522"
"Stargaze","BLB","114","777fc599-8de7-44d2-8fdd-9bddf5948a0c","559065"
"Starlit Soothsayer","BLB","115","184c1eca-2991-438f-b5d2-cd2529b9c9b4","559066"
"Starscape Cleric","BLB","116","53a938a7-0154-4350-87cb-00da24ec3824","559653"
"Thornplate Intimidator","BLB","117","42f66c4a-feaa-4ba6-aa56-955b43329a9e","559153"
"Thought-Stalker Warlock","BLB","118","42e80284-d489-493b-ae92-95b742d07cb3","559523"
"Valley Rotcaller","BLB","119","4da80a9a-b1d5-4fc5-92f7-36946195d0c7","558437"
"Wick, the Whorled Mind","BLB","120","29089810-d7fb-4abe-b729-bfabed6aed2b","559154"
"Wick's Patrol","BLB","121","5fa0c53d-fe7b-4b8b-ad81-7967ca318ff7","559067"
"Agate Assault","BLB","122","7dd9946b-515e-4e0d-9da2-711e126e9fa6","559491"
"Alania's Pathmaker","BLB","123","d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1","559554"
"Artist's Talent","BLB","124","8b9e51d9-189b-4dd6-87cb-628ea6373e81","558442"
"Blacksmith's Talent","BLB","125","4bb318fa-481d-40a7-978e-f01b49101ae0","559492"
"Blooming Blast","BLB","126","0cd92a83-cec3-4085-a929-3f204e3e0140","559654"
"Brambleguard Captain","BLB","127","e200b8bf-f2f3-4157-8e04-02baf07a963e","558701"
"Brazen Collector","BLB","128","78b55a58-c669-4dc6-aa63-5d9dff52e613","558702"
"Byway Barterer","BLB","129","f41fc718-641b-4f32-a8c1-3e5591a05bf8","559070"
"Conduct Electricity","BLB","130","2f373dd6-2412-453c-85ba-10230dfe473a","558703"
"Coruscation Mage","BLB","131","dc2c1de0-6233-469a-be72-a050b97d2c8f","559072"
"Dragonhawk, Fate's Tempest","BLB","132","8659789c-6a2c-439f-a348-b9b1b06c55b8","559761"
"Emberheart Challenger","BLB","133","0035082e-bb86-4f95-be48-ffc87fe5286d","559076"
"Festival of Embers","BLB","134","4433ee12-2013-4fdc-979f-ae065f63a527","559655"
"Flamecache Gecko","BLB","135","fb8e7c97-8393-41b8-bb0b-3983dcc5e7f4","559657"
"Frilled Sparkshooter","BLB","136","674bbd6d-e329-42cf-963d-88d1ce8fe51e","559080"
"Harnesser of Storms","BLB","137","b56beeb6-88ca-475e-8654-1d4e8b4aa3c0","559081"
"Heartfire Hero","BLB","138","48ace959-66b2-40c8-9bff-fd7ed9c99a82","558704"
"Hearthborn Battler","BLB","139","bef1cf5c-9738-4062-8cb1-87a372d36687","559125"
"Hired Claw","BLB","140","1ae41080-0d67-4719-adb2-49bf2a268b6c","559082"
"Hoarder's Overflow","BLB","141","c2ed5079-07b4-4575-a2c8-5f0cbff888c3","559493"
"Kindlespark Duo","BLB","142","a839fba3-1b66-4dd1-bf43-9b015b44fc81","559126"
"Manifold Mouse","BLB","143","db3832b5-e83f-4569-bd49-fb7b86fa2d47","558706"
"Might of the Meek","BLB","144","509bf254-8a2b-4dfa-9ae5-386321b35e8b","558604"
"Playful Shove","BLB","145","07956edf-34c1-4218-9784-ddbca13e380c","559658"
"Quaketusk Boar","BLB","146","2f2b7fd3-a139-49ea-8a89-b64261e868ef","558708"
"Rabid Gnaw","BLB","147","2f815bae-820a-49f6-8eed-46f658e7b6ff","559659"
"Raccoon Rallier","BLB","148","b5b5180f-5a1c-4df8-9019-195e65a50ce3","559660"
"Reptilian Recruiter","BLB","149","81dec453-c9d7-42cb-980a-c82f82bede76","559127"
"Roughshod Duo","BLB","150","78cdcfb9-a247-4c2d-a098-5b57570f8cd5","559763"
"Sazacap's Brew","BLB","151","6d963080-b3ec-467d-82f7-39db6ecd6bbc","559766"
"Season of the Bold","BLB","152","84352565-558b-4f9b-a411-532147806a78","558392"
"Steampath Charger","BLB","153","03bf1296-e347-4070-8c6f-5c362c2f9364","558709"
"Stormsplitter","BLB","154","56f214d3-6b93-40db-a693-55e491c8a283","559494"
"Sunspine Lynx","BLB","155","8995ceaf-b7e0-423c-8f3e-25212d522502","558711"
"Take Out the Trash","BLB","156","7a1c6f00-af4c-4d35-b682-6c0e759df9a5","559084"
"Teapot Slinger","BLB","157","30506844-349f-4b68-8cc1-d028c1611cc7","559661"
"Valley Flamecaller","BLB","158","a0812db4-b7d1-4cf7-aaa5-9c0e784079a1","559770"
"Valley Rally","BLB","159","b6178258-1ad6-4122-a56f-6eb7d0611e84","558710"
"War Squeak","BLB","160","105964a7-88b7-4340-aa66-e908189a3638","559128"
"Whiskerquill Scribe","BLB","161","da653996-9bd4-40bd-afb4-48c7e070a269","559496"
"Wildfire Howl","BLB","162","7392d397-9836-4df2-944d-c930c9566811","559772"
"Bakersbane Duo","BLB","163","5309354f-1ff4-4fa9-9141-01ea2f7588ab","559482"
"Bark-Knuckle Boxer","BLB","164","582637a9-6aa0-4824-bed7-d5fc91bda35e","559073"
"Brambleguard Veteran","BLB","165","bac9f6f8-6797-4580-9fc4-9a825872e017","558692"
