"name","set","collector number","scryfallId","tcgplayerProductId"
"Bello, Bard of the Brambles","BLC","1","31e4b7a1-b377-49d2-a92e-4bcb0db35f16","558382"
"Hazel of the Rootbloom","BLC","2","1269ca79-907e-4932-9e77-a9a5d2929060","558383"
"Ms. Bumbleflower","BLC","3","42bbedc1-6b83-46b4-8b3b-a4e05ce77d87","558384"
"Zinnia, Valley's Voice","BLC","4","dfe36901-5841-4942-8b61-c273111f715e","558385"
"Arthur, Marigold Knight","BLC","5","9b3603aa-58a2-41d4-a58f-2b3306876e35","559720"
"Mr. Foxglove","BLC","6","cba58beb-9524-46d4-ac63-119f19d9d44f","559995"
"The Odd Acorn Gang","BLC","7","791d9ea0-c70a-47a6-b8a3-0f5d36a5c44d","560000"
"Wildsear, Scouring Maw","BLC","8","48494ef9-5eb3-4b55-ad1d-b32bbed89ca5","560417"
"Jacked Rabbit","BLC","9","2c695df6-6bf2-4e6b-8500-e3116137ca27","559729"
"Murmuration","BLC","10","561c9c4e-942e-40e8-b5f2-ac709a502f18","559731"
"Perch Protection","BLC","11","1f81d6ea-9a76-43b9-b030-d40c5cfbeefe","560182"
"Steelburr Champion","BLC","12","73b1f962-22b7-4394-9796-24f7b0f8a42f","559997"
"Tempt with Bunnies","BLC","13","90cc0369-dc9b-4e75-8e3c-ec0783fa13a9","559998"
"Fortune Teller's Talent","BLC","14","a1d43877-20ab-4e84-a597-4b5e03a6bf90","559728"
"Pollywog Prodigy","BLC","15","94a020df-714b-4465-bfa2-ac15f27d8412","559733"
"Twenty-Toed Toad","BLC","16","5479009c-9da5-4646-9894-fb9ec73dc9a9","559999"
"Hazel's Brewmaster","BLC","17","52af8b70-a9c8-40d7-99da-fa51dc293688","560002"
"Insatiable Frugivore","BLC","18","2ef58a8f-ce72-40c2-b032-818cc16267ce","560003"
"Moonstone Eulogist","BLC","19","13158f3b-9d85-4689-9afa-7d9a8a2d1b09","560004"
"Swarmyard Massacre","BLC","20","8486f472-afad-4fdd-a57a-d20d8871b543","560007"
"Agate Instigator","BLC","21","9f838603-f7cd-497d-8d2b-d4cca03c1af7","559718"
"Alchemist's Talent","BLC","22","2fb8dace-c604-40fc-bbd4-5add5deb041a","560228"
"Calamity of Cinders","BLC","23","97c72d4b-a5d4-4f68-bbcd-b7ed0326fc1c","559722"
"Echoing Assault","BLC","24","3213bfee-c0a0-49a2-9080-cdaa09b414c5","560229"
"Prosperous Bandit","BLC","25","6b3a7194-25e8-4639-a490-96e9cfce0f84","560230"
"Pyreswipe Hawk","BLC","26","0cf88f89-9490-4477-b632-85c513e8c749","560231"
"Bloodroot Apothecary","BLC","27","d39e0024-9a91-49d6-bfbf-9dbf7d228687","559991"
"Brightcap Badger // Fungus Frolic","BLC","28","0e843102-b8cc-4bc8-872e-79924197f4cc","560241"
"Communal Brewing","BLC","29","acf6399f-f389-4b13-8563-a078a5d198f4","559992"
"Evercoat Ursine","BLC","30","b299d768-b171-47e5-b69d-82ce13917c43","560242"
"Gourmand's Talent","BLC","31","89670a1b-a6f1-491d-bbb4-92e3382da653","560001"
"Rootcast Apprenticeship","BLC","32","00756441-a734-4960-9c69-f03a508a1522","560005"
"Scurry of Squirrels","BLC","33","c343b965-af2b-45c3-babb-9242736cf1e5","560006"
"Thickest in the Thicket","BLC","34","821f01e4-082e-424a-ae77-4053da893eb2","560244"
"Trailtracker Scout","BLC","35","36ee967a-3cac-4fff-b616-ec2557c676f2","560245"
"Fisher's Talent","BLC","36","47f0e0b9-d137-46ac-a6e4-13a529e30bb5","559993"
"Octomancer","BLC","37","f260197a-0297-4673-96de-dee915d79353","559996"
"Rapid Augmenter","BLC","38","c4643565-a462-45ce-b5ed-f19b796a64c5","559734"
"Rolling Hamsphere","BLC","39","04d6e7f2-fb69-477c-b4f1-8a97485dbf32","560434"
"Sword of the Squeak","BLC","40","a3f4d41d-69a5-412f-aa25-f1acc5cacab2","560008"
"Arthur, Marigold Knight","BLC","41","3d416ad5-cb37-44ac-aded-f45fecdcce6f","560419"
"Mr. Foxglove","BLC","42","8504e660-1a15-472d-8e5c-dee0c1d26c8f","560420"
"The Odd Acorn Gang","BLC","43","185ac3b0-116e-4539-9615-123a6d68b035","560425"
"Wildsear, Scouring Maw","BLC","44","817ab66e-8e64-47db-832a-2cf9a28dbd17","560426"
"Jacked Rabbit","BLC","45","e732176f-faff-4b0e-9a4a-12d6b011be82","560180"
"Murmuration","BLC","46","832c3944-198f-49be-b82d-4690e1345e0c","560181"
"Perch Protection","BLC","47","f7969901-ec6d-4c25-8cc8-6a663e047c0c","560183"
"Steelburr Champion","BLC","48","fa25bc75-9bb6-46d9-8de4-a1c1400383f9","560184"
"Tempt with Bunnies","BLC","49","d5380a89-c854-4170-8881-8f351a03b3cd","560185"
"Pollywog Prodigy","BLC","50","292158eb-cef0-4807-a38f-c5686064b95a","560204"
"Twenty-Toed Toad","BLC","51","7c6c2f15-d137-4dbe-819e-28c295919145","560203"
"Hazel's Brewmaster","BLC","52","95965b9a-9ab3-4dd4-b8de-65df9c62e797","560207"
"Insatiable Frugivore","BLC","53","dcfdb433-f4fb-4e3d-92b9-a7071d34a3dd","560208"
"Moonstone Eulogist","BLC","54","7e6c666b-e31f-4fd6-ac12-d69de316cd47","560209"
"Swarmyard Massacre","BLC","55","0ce5e24a-84e3-4ecb-924d-1a92b0da914a","560210"
"Agate Instigator","BLC","56","163c093e-9b6f-497d-a167-cfee1dbc5106","560232"
"Calamity of Cinders","BLC","57","e115baf4-157a-479d-879b-e6d33fe0bae3","560233"
"Echoing Assault","BLC","58","7110406b-72ac-4e59-aa9f-903510e352a3","560234"
"Prosperous Bandit","BLC","59","383bde13-c24c-4c3c-bc10-72287aae74de","560235"
"Pyreswipe Hawk","BLC","60","5ac03445-6567-455a-9df1-7f76d533bdee","560236"
"Bloodroot Apothecary","BLC","61","dfd3a839-8f73-4fa2-afd6-d5185fe14f4f","560246"
"Brightcap Badger // Fungus Frolic","BLC","62","9df82a20-309e-4581-9f3f-e9ba9250747b","560247"
"Communal Brewing","BLC","63","11ce646e-26b0-4ef2-b019-92eef1964d33","560248"
"Evercoat Ursine","BLC","64","bbf9572d-6359-4570-833b-bf3bba4f6162","560249"
"Rootcast Apprenticeship","BLC","65","0ce616c9-af7f-4b81-bc94-dae14ffbf822","560250"
"Scurry of Squirrels","BLC","66","e3b8bc97-054c-4f7e-8893-0205dabe23f8","560251"
"Thickest in the Thicket","BLC","67","acf73032-96b6-4550-ad33-622932b394d9","560252"
"Trailtracker Scout","BLC","68","fc8dcf0e-5378-4b7f-b356-42ea23303539","560255"
"Octomancer","BLC","69","0da07361-5c92-4708-8314-ba0dce11daf9","560421"
"Rapid Augmenter","BLC","70","c9b99c09-3a67-41be-b1a3-9bbe47727365","560423"
"Rolling Hamsphere","BLC","71","58655918-b34f-4c50-aef9-6a7b10c60aee","560436"
"Sword of the Squeak","BLC","72","3c50035a-9f68-438c-b4bf-427310b3971d","560438"
"Karn, the Great Creator","BLC","73","88c3afd5-2957-46b0-9544-5b864dbcc0f7","559608"
"Luminous Broodmoth","BLC","74","ca525a33-af35-4b81-80c6-08fa81dd10ab","559619"
"Jace, the Mind Sculptor","BLC","75","cbe639bb-5797-4bec-b55b-aed296337e92","558389"
"Narset, Parter of Veils","BLC","76","a609f37f-4466-45eb-93b1-01b649f8a0a1","559621"
"Ink-Eyes, Servant of Oni","BLC","77","2e8a6a7e-7628-4cd8-ac5b-f3be93caaf81","559623"
"Liliana of the Dark Realms","BLC","78","00e73c6f-bdbb-474b-9b24-44cb3fd5f751","558411"
"Marrow-Gnawer","BLC","79","073a04e9-7c18-469d-ac3b-941eb50a6f01","559624"
"Ant Queen","BLC","80","565438a2-3b2f-4bfa-9af0-69fbcbcef99d","559618"
"Birds of Paradise","BLC","81","4c72e177-d95d-41df-91b3-4e489175b6aa","559620"
"Chatterfang, Squirrel General","BLC","82","2bb8c103-37c3-4c5f-9b3f-48d8b2292783","558444"
"Gilded Goose","BLC","83","c9ab64c3-130e-4afc-9589-6d5654daeac7","559622"
"Nissa, Who Shakes the World","BLC","84","1dadea9c-1f50-4e5e-9fb0-ab20c707150f","558409"
